x,y,score,row_id,region,x_min,x_max,y_min,y_max
16331.311,17721.621,0.0715467427676252,55707,Bottom-middle,14100,17500,16300,19000
16332.04,17262.355,-0.000410953946988174,55233,Bottom-middle,14100,17500,16300,19000
16333.407,17186.018,0.02181849939135,55144,Bottom-middle,14100,17500,16300,19000
16334.078,17326.436,0.278146460153508,55305,Bottom-middle,14100,17500,16300,19000
16335.815,17697.91,0.119345685773189,55670,Bottom-middle,14100,17500,16300,19000
16336.286,17772.39,0.0859996135361181,55755,Bottom-middle,14100,17500,16300,19000
16337.215,18594.436,0.147896713593272,65823,Bottom-middle,14100,17500,16300,19000
16338.043,18829.996,-0.0677599042152041,66260,Bottom-middle,14100,17500,16300,19000
16338.059,17584.19,0.173090288360899,55583,Bottom-middle,14100,17500,16300,19000
16339.109,17287.06,0.0305327173066781,55267,Bottom-middle,14100,17500,16300,19000
16342.017,17102.64,0.177278783339002,55057,Bottom-middle,14100,17500,16300,19000
16342.546,18294.742,0.0318682874252888,65409,Bottom-middle,14100,17500,16300,19000
16343.567,17409.465,0.191675817136983,55397,Bottom-middle,14100,17500,16300,19000
16345.374,16766.197,-0.0933051716190191,54642,Bottom-middle,14100,17500,16300,19000
16345.827,18561.775,-0.00571669723109043,65765,Bottom-middle,14100,17500,16300,19000
16346.005,16987.666,-0.094272458963197,54910,Bottom-middle,14100,17500,16300,19000
16346.188,18679.793,0.0533016891450359,65953,Bottom-middle,14100,17500,16300,19000
16347.349,17439.006,0.262238114180336,55438,Bottom-middle,14100,17500,16300,19000
16351.297,17220.47,0.035362652896168,55184,Bottom-middle,14100,17500,16300,19000
16353.441,18922.975,0.00304991054124983,66450,Bottom-middle,14100,17500,16300,19000
16353.764,18789.936,0.159033215504073,66171,Bottom-middle,14100,17500,16300,19000
16354.033,18626.172,0.135932249803332,65870,Bottom-middle,14100,17500,16300,19000
16355.66,17354.777,0.220186388787462,55346,Bottom-middle,14100,17500,16300,19000
16355.82,17463.807,0.286841977744892,55468,Bottom-middle,14100,17500,16300,19000
16367.435,17090.268,0.0704025548030575,55039,Bottom-middle,14100,17500,16300,19000
16368.694,18083.512,-0.209341301521094,65191,Bottom-middle,14100,17500,16300,19000
16369.804,17545.816,0.036138595595066,55539,Bottom-middle,14100,17500,16300,19000
16370.063,18178.129,-0.0766275989492095,65284,Bottom-middle,14100,17500,16300,19000
16371.771,18982.988,0.149869539534936,66583,Bottom-middle,14100,17500,16300,19000
16373.175,17834.723,0.147555666626203,55801,Bottom-middle,14100,17500,16300,19000
16374.225,17289.352,0.106084011078873,55268,Bottom-middle,14100,17500,16300,19000
16375.011,17044.37,0.169984843965402,54988,Bottom-middle,14100,17500,16300,19000
16375.327,16903.156,-0.0357200773019447,54820,Bottom-middle,14100,17500,16300,19000
16378.905,18860.338,0.0968049664640733,66302,Bottom-middle,14100,17500,16300,19000
16381.395,16497.72,-0.18985762299276,54363,Bottom-middle,14100,17500,16300,19000
16382.906,17817.016,0.086345730540407,55796,Bottom-middle,14100,17500,16300,19000
16384.797,17777.787,0.031370562016628,55761,Bottom-middle,14100,17500,16300,19000
16385.107,17318.145,0.183032296482281,55306,Bottom-middle,14100,17500,16300,19000
16385.451,16592.541,0.0826468510045693,54456,Bottom-middle,14100,17500,16300,19000
16387.512,18941.8,0.169559068656226,66502,Bottom-middle,14100,17500,16300,19000
16390.047,16962.416,-0.0074075618062996,54889,Bottom-middle,14100,17500,16300,19000
16391.926,17515.967,-0.0276827577913382,55519,Bottom-middle,14100,17500,16300,19000
16393.355,16705.58,-0.0603437099996413,54559,Bottom-middle,14100,17500,16300,19000
16393.885,18913.906,0.0814654144210282,66420,Bottom-middle,14100,17500,16300,19000
16397.322,18025.264,-0.172971768268205,65148,Bottom-middle,14100,17500,16300,19000
16398.03,18078.025,0.0435965178049136,65194,Bottom-middle,14100,17500,16300,19000
16398.559,17252.158,-0.0919227345934195,55212,Bottom-middle,14100,17500,16300,19000
16399.13,17687.193,0.0525706867919282,55667,Bottom-middle,14100,17500,16300,19000
16399.348,18626.092,0.231365204398061,65871,Bottom-middle,14100,17500,16300,19000
16400.371,18797.41,0.137210819825493,66197,Bottom-middle,14100,17500,16300,19000
16400.76,18572.12,-0.0387508717396855,65793,Bottom-middle,14100,17500,16300,19000
16401.365,18743.371,0.32097317932553,66090,Bottom-middle,14100,17500,16300,19000
16406.307,17938.686,-0.257746733706553,55903,Bottom-middle,14100,17500,16300,19000
16407.723,16785.217,-0.0611761104574792,54666,Bottom-middle,14100,17500,16300,19000
16408.254,17094.03,0.140797803002517,55040,Bottom-middle,14100,17500,16300,19000
16408.654,18668.852,0.0927418796424853,65940,Bottom-middle,14100,17500,16300,19000
16410.445,17349.71,0.230660206364781,55347,Bottom-middle,14100,17500,16300,19000
16410.748,17801.53,0.184513399712065,55786,Bottom-middle,14100,17500,16300,19000
16411.686,16654.838,-0.0207404203223772,54524,Bottom-middle,14100,17500,16300,19000
16412.996,17221.07,0.0605942831050372,55180,Bottom-middle,14100,17500,16300,19000
16413.383,16387.217,-0.0967588805182964,54260,Bottom-middle,14100,17500,16300,19000
16413.492,17649.965,0.255066314981957,55630,Bottom-middle,14100,17500,16300,19000
16414.486,18945.803,0.169214062919366,66512,Bottom-middle,14100,17500,16300,19000
16414.6,16871.908,-0.0599664328038708,54781,Bottom-middle,14100,17500,16300,19000
16414.633,18692.459,0.210882823421095,66007,Bottom-middle,14100,17500,16300,19000
16416.756,17402.094,0.32769833409694,55403,Bottom-middle,14100,17500,16300,19000
16417.293,16320.127,0.0867193806433716,54181,Bottom-middle,14100,17500,16300,19000
16419.494,18154.172,-0.00644337855377669,65254,Bottom-middle,14100,17500,16300,19000
16419.557,16594.158,0.0116432710263853,54444,Bottom-middle,14100,17500,16300,19000
16421.967,17200.291,-0.107593202539797,55161,Bottom-middle,14100,17500,16300,19000
16423.31,18744.271,0.0149939448479265,66091,Bottom-middle,14100,17500,16300,19000
16424.229,18987.078,0.050804143592828,66549,Bottom-middle,14100,17500,16300,19000
16424.752,17879.715,-0.0313312447235161,55846,Bottom-middle,14100,17500,16300,19000
16426.38,17596.406,0.100742476686121,55569,Bottom-middle,14100,17500,16300,19000
16427.367,16719.672,0.0317228075769367,54586,Bottom-middle,14100,17500,16300,19000
16432.062,17041.068,-0.000687419359286568,54981,Bottom-middle,14100,17500,16300,19000
16432.316,18532.975,-0.101098643030353,65712,Bottom-middle,14100,17500,16300,19000
16433.34,17455.951,0.10239602204442,55456,Bottom-middle,14100,17500,16300,19000
16434.121,18306.844,-0.094604083520908,65418,Bottom-middle,14100,17500,16300,19000
16435.578,16424.404,-0.0209722286443936,54303,Bottom-middle,14100,17500,16300,19000
16436.133,17630.521,0.13462890255398,55619,Bottom-middle,14100,17500,16300,19000
16436.375,18889.68,0.237895072185044,66366,Bottom-middle,14100,17500,16300,19000
16436.719,17843.416,0.198548014833944,55817,Bottom-middle,14100,17500,16300,19000
16437.764,17534.928,0.219898701324577,55531,Bottom-middle,14100,17500,16300,19000
16438.38,18857.152,0.11412203554364,66314,Bottom-middle,14100,17500,16300,19000
16439.852,17292.51,0.271346493889374,55278,Bottom-middle,14100,17500,16300,19000
16439.877,18633.395,0.0460652486976873,65879,Bottom-middle,14100,17500,16300,19000
16440.168,17119.105,0.274416544502222,55076,Bottom-middle,14100,17500,16300,19000
16440.182,18705.256,0.0845092805983947,66024,Bottom-middle,14100,17500,16300,19000
16441.83,18777.816,-0.0552037558302782,66172,Bottom-middle,14100,17500,16300,19000
16442.992,17753.129,0.058804354473952,55730,Bottom-middle,14100,17500,16300,19000
16443.277,17472.543,0.226117616109468,55474,Bottom-middle,14100,17500,16300,19000
16446.924,17266.643,0.0986913292081501,55234,Bottom-middle,14100,17500,16300,19000
16447.096,16485.24,-0.104761850063565,54357,Bottom-middle,14100,17500,16300,19000
16447.793,18674.984,0.227495390265149,65954,Bottom-middle,14100,17500,16300,19000
16447.992,18446.564,0.0735162025382696,65576,Bottom-middle,14100,17500,16300,19000
16448.863,16843.104,-0.0591004915359448,54743,Bottom-middle,14100,17500,16300,19000
16449.58,17686.037,-0.0110407511660555,55658,Bottom-middle,14100,17500,16300,19000
16454.445,18800.357,0.111130460296462,66214,Bottom-middle,14100,17500,16300,19000
16457.572,16320.102,0.207330379439149,54182,Bottom-middle,14100,17500,16300,19000
16463.158,18573.637,-0.0790171406982411,65794,Bottom-middle,14100,17500,16300,19000
